Number,Company,Symbol,YTD Return
179,AT&T,T,14.38
180,Hartford (The),HIG,14.35
181,Synchrony Financial,SYF,14.23
182,Teradyne,TER,14.03
183,Boston Scientific,BSX,13.99
184,Coca-Cola Company (The),KO,13.91
185,Consolidated Edison,ED,13.83
186,Humana,HUM,13.71
187,Genuine Parts Company,GPC,13.64
188,Nordson Corporation,NDSN,13.56
189,Abbott Laboratories,ABT,13.20
190,Mettler Toledo,MTD,13.17
191,Analog Devices,ADI,13.10
192,D. R. Horton,DHI,13.03
193,Phillips 66,PSX,13.03
194,Trimble Inc.,TRMB,12.63
195,Eaton Corporation,ETN,12.54
196,PulteGroup,PHM,12.53
197,Realty Income,O,12.47
198,Dominion Energy,D,12.42
199,CSX Corporation,CSX,12.24
200,CMS Energy,CMS,11.82
201,Travelers Companies (The),TRV,11.81
202,AES Corporation,AES,11.69
203,Franklin Resources,BEN,11.61
204,Pentair,PNR,11.53
205,IQVIA,IQV,11.32
206,PTC Inc.,PTC,11.25
207,Cigna,CI,11.19
208,Cadence Design Systems,CDNS,11.01
209,Republic Services,RSG,10.85
210,Kroger,KR,10.79
211,BlackRock,BLK,10.52
212,Yum! Brands,YUM,10.50
213,Mohawk Industries,MHK,10.37
214,Hershey Company (The),HSY,10.13
215,Visa Inc.,V,10.00
216,Crown Castle,CCI,9.63
217,"Tesla, Inc.",TSLA,9.49
218,Qualcomm,QCOM,9.46
219,Datadog,DDOG,9.32
220,Solventum,SOLV,9.30
221,Corteva,CTVA,9.19
222,Mastercard,MA,9.03
223,Pinnacle West,PNW,8.84
224,Deere & Company,DE,8.71
225,Hewlett Packard Enterprise,HPE,8.55
226,Textron,TXT,8.52
227,Berkshire Hathaway,BRK.B,8.51
228,Agilent Technologies,A,8.44
229,Freeport-McMoRan,FCX,8.19
230,Linde plc,LIN,7.80
231,Thermo Fisher Scientific,TMO,7.54
232,Sempra,SRE,7.33
233,CoStar Group,CSGP,7.28
234,American International Group,AIG,7.14
235,Vici Properties,VICI,7.05
236,Intuit,INTU,6.93
237,DuPont,DD,6.66
238,Expand Energy,EXE,6.46
239,Waste Management,WM,6.37
240,Chevron Corporation,CVX,6.24
241,Albemarle Corporation,ALB,6.21
242,Stryker Corporation,SYK,6.15
243,Vertex Pharmaceuticals,VRTX,6.13
244,Cintas,CTAS,6.11
245,McDonald's,MCD,6.04
246,Hilton Worldwide,HLT,5.85
247,Emerson Electric,EMR,5.80
248,Intercontinental Exchange,ICE,5.73
249,Raymond James Financial,RJF,5.52
250,Willis Towers Watson,WTW,5.51
251,Booking Holdings,BKNG,5.28
252,Aflac,AFL,5.07
253,American Tower,AMT,5.04
254,NXP Semiconductors,NXPI,4.97
255,Apple Inc.,AAPL,4.89
256,TransDigm Group,TDG,4.88
257,ExxonMobil,XOM,4.75
258,Expeditors International,EXPD,4.70
259,NetApp,NTAP,4.60
260,Ametek,AME,4.47
261,Wabtec,WAB,4.44
262,Regions Financial Corporation,RF,4.19
263,A. O. Smith,AOS,4.09
264,Hubbell Incorporated,HUBB,3.94
265,Tractor Supply,TSCO,3.92
266,Mondelez International,MDLZ,3.88
267,Simon Property Group,SPG,3.79
268,Sysco,SYY,3.54
269,Lilly (Eli),LLY,3.53
270,Moody's Corporation,MCO,3.28
271,Delta Air Lines,DAL,3.27
272,Ross Stores,ROST,3.26
273,T-Mobile US,TMUS,3.16
274,Cincinnati Financial,CINF,3.10
275,United Airlines Holdings,UAL,3.08
276,Keysight Technologies,KEYS,3.00
277,Edwards Lifesciences,EW,2.87
278,Williams-Sonoma,WSM,2.85
279,Broadridge Financial Solutions,BR,2.78
280,Intuitive Surgical,ISRG,2.74
281,Hologic,HOLX,2.70
282,Southwest Airlines,LUV,2.67
283,Principal Financial Group,PFG,2.56
284,Charles River Laboratories,CRL,2.51
285,KeyCorp,KEY,2.48
286,Kellanova,K,2.48
287,Walt Disney Company (The),DIS,2.42
288,Costco,COST,2.33
289,Public Storage,PSA,2.19
290,Autodesk,ADSK,2.07
291,Snap-on,SNA,1.76
292,Illinois Tool Works,ITW,1.40
293,Match Group,MTCH,1.07
294,Truist Financial,TFC,1.03
295,Verizon,VZ,0.96
296,Lockheed Martin,LMT,0.85
297,PepsiCo,PEP,0.62
298,Veralto,VLTO,0.58
299,Home Depot (The),HD,0.50
300,Extra Space Storage,EXR,0.40
301,Kinder Morgan,KMI,0.38
302,Allstate,ALL,0.37
303,Darden Restaurants,DRI,0.06
304,Domino's,DPZ,0.01
305,Gen Digital,GEN,-0.20
306,Paycom,PAYC,-0.29
307,Amazon,AMZN,-0.31
308,Lowe's,LOW,-0.43
309,Sherwin-Williams,SHW,-0.57
310,Otis Worldwide,OTIS,-0.63
311,U.S. Bancorp,USB,-0.64
312,Fifth Third Bancorp,FITB,-0.66
313,Union Pacific Corporation,UNP,-0.68
314,Iron Mountain,IRM,-0.92
315,J.B. Hunt,JBHT,-1.09
316,Roper Technologies,ROP,-1.19
317,Public Service Enterprise Group,PEG,-1.41
318,News Corp (Class B),NWS,-1.43
319,CF Industries,CF,-1.58
320,Las Vegas Sands,LVS,-1.72
321,Assurant,AIZ,-1.86
322,Devon Energy,DVN,-1.92
323,APA Corporation,APA,-2.06
324,Huntington Bancshares,HBAN,-2.06
325,Airbnb,ABNB,-2.15
326,Digital Realty,DLR,-2.16
327,Chubb Limited,CB,-2.35
328,Arthur J. Gallagher & Co.,AJG,-2.76
329,S&P Global,SPGI,-2.82
330,Lennar,LEN,-2.89
331,Automatic Data Processing,ADP,-2.90
332,GE HealthCare,GEHC,-2.97
333,Regency Centers,REG,-2.99
334,Zimmer Biomet,ZBH,-3.00
335,SBA Communications,SBAC,-3.01
336,Motorola Solutions,MSI,-3.05
337,Masco,MAS,-3.21
338,Lamb Weston,LW,-3.28
339,Everest Group,EG,-3.69
340,MetLife,MET,-3.74
341,Danaher Corporation,DHR,-3.86
342,"BXP, Inc.",BXP,-3.88
343,Marriott International,MAR,-3.97
344,Best Buy,BBY,-3.97
345,Biogen,BIIB,-4.20
346,News Corp (Class A),NWSA,-4.36
347,Aon,AON,-4.39
348,"Workday, Inc.",WDAY,-4.40
349,Interpublic Group of Companies (The),IPG,-4.55
350,Arch Capital Group,ACGL,-4.57
351,"NVR, Inc.",NVR,-4.60
